package_name,version,license_type,source_project
idna,3.6,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
ijson,3.4.0.post0,BSD-3-Clause AND ISC,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
importlib_metadata,8.7.1,Apache-2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
importlib_resources,6.5.2,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
iniconfig,2.0.0,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
installer,0.7.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
ipykernel,7.1.0,BSD-3-Clause,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
ipython,9.7.0,BSD-3-Clause,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
ipython_pygments_lexers,1.1.1,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
itsdangerous,2.2.0,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
jaraco.classes,3.4.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
jaraco.context,6.0.2,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
jaraco.functools,4.4.0,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
jedi,0.19.2,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
Jinja2,3.1.3,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
jiter,0.12.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
joblib,1.5.3,BSD-3-Clause,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
jsonpatch,1.33,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
jsonpointer,2.4,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
jsonschema,4.21.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
jsonschema-specifications,2023.12.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
jupyter_client,8.6.3,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
jupyter_core,5.9.1,BSD-3-Clause,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
keyring,25.7.0,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
kubernetes,29.0.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
kuzu,0.11.3,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
kuzu-memory,1.6.10,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
loguru,0.7.3,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
lxml,5.1.0,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
Mako,1.3.2,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
Markdown,3.5.2,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
markdown-it-py,3.0.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
MarkupSafe,2.1.5,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
matplotlib-inline,0.2.1,UNKNOWN,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
mcp,1.25.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
mcp-vector-search,1.1.22,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
mdurl,0.1.2,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
